type,count
"BP_OceanWater_C",193
"WMEditMapIcon",192
"MiniBtn_C",189
"BookMark",180
"KSTextBlockDecorator",178
"DefaultLevelSequenceInstanceData",175
"LevelSequenceActor",175
"LevelSequenceBurnInOptions",175
"MovieSceneBindingOverrides",175
"BPI_Obj_Pyramid_Torch_A_C",168
"QPPostProcessVolume",165
"BPI_Obj_Torch_Ground_EnvSound_C",164
"SkyLightComponent",164
"TimelineTemplate",163
"BPI_Obj_Heaven_Torch_B_C",162
"BP_LightBeam_Rainbow_C",160
"CharaPanel_LoadAsync_C",156
"BPI_Obj_Lamp_Lantern_A_on_C",151
"BPi_Torch_A_C",150
"BPI_Obj_Lamp_Residence_A_SR1_on_C",146
"BPI_Obj_Lamp_Residence_A_F2_on_C",145
"MovieSceneParticleSection",142
"MovieSceneParticleTrack",142
"BPI_Obj_Lamp_Residence_A_SL1_on_C",142
"BPi_Mansion_C_Wall_400_1F_C",133
"CurveFloat",131
"BPI_Obj_Torch_Wall_A_EnvSound_C",131
"MovieSceneVisibilityTrack",129
"LightMapTexture2D",128
"ShadowMapTexture2D",128
"BPI_Obj_Heaven_Torch_B_Strong_C",126
"KSMapChipBlockParent",123
"Landscape",123
"QPListView",121
"MovieSceneSubTrack",120
"Overlay",118
"ParticleModuleCollisionGPU",110
"TextureCube",109
"CommonItemIcon_C",109
"ProgressBar",103
"WMEditMapRoute",102
"BPI_Obj_Torch_Wall_Hornburg_A_EnvSound_C",101
"CharaPanel_UniTex_Body_C",98
"MaterialFunction",97
"ParticleModuleVelocityCone",97
"ParticleModuleParameterDynamic_Seeded",96
"BPI_Obj_Lamp_Table_A_on_C",94
"CommonCharaStatusList_C",93
"ParticleModuleVelocityOverLifetime",93
"TimeZoneLightParam",92
"BP_WaterFall_E_C",92
"BPI_Obj_Lamp_Residence_A_SR1_on_Hell_C",91
"BP_Lamp_D_CandleStick_Tri_Wall_Dungeon_C",90
"KSTextBlock",89
"RecoveryPointComponent",89
"BPI_Obj_Lamp_Residence_A_F1_on_Hell_C",89
"BPI_Obj_Bernstein_Torch_B_C",88
"BPI_Obj_Lamp_Residence_A_SL1_on_Hell_C",87
"BPi_Torch_B_C",85
"ScrollBox",82
"EnvSoundTimeZone",82
"MapBuildDataRegistry",81
"MovieSceneEventTrack",81
"MovieSceneEventTriggerSection",81
"BPI_Obj_Lamp_Castle_Wall_A_F2_on_C",80
"BPI_Obj_Heaven_Torch_A_C",79
"BPI_Obj_Torch_B_Wall_EnvSound_C",77
"ParticleModuleAttractorPoint",75
"BPI_Obj_Torch_Hang_C",74
"ParticleModuleVectorFieldScale",74
"ParticleModuleVectorFieldScaleOverLife",74
"BPI_Obj_Cloth_A_C",73
"LandscapeLayerInfoObject",72
"ParticleModuleRotationRateMultiplyLife",71
"BPi_Torch_C_C",70
"CurveVector",70
"UniformGridSlot",70
"BPi_Mansion_C_Wall_Deco_400_1F_C",67
"DistributionFloatUniformCurve",67
"ButtonSlot",65
"ComponentDelegateBinding",65
"MovieSceneBoolTrack",65
"BPi_Mansion_C_Wall_400_2F_C",65
"BPI_Obj_Fireplace_C_C",64
"BP_Wilderness_B_Loop_H2_A_C",63
"BP_FireFly_C",61
"ParticleModuleAccelerationOverLifetime",61
"MaterialParameterCollection",61
"ClassBoardSkillPanel_C",61
"BPI_Obj_Torch_D_Cave_EnvSound_Blizzerd_Decal_C",59
"BP_Canoedock_Left_C",57
"BPi_Torch_Wall_A_AllFire_C",57
"CurveLinearColor",56
"BattleBPParts_C",56
"BP_LightBeamTimeZone_NoTimeZone_C",53
"BPI_Obj_Torch_Wall_A_R_C",53
"BPi_Mansion_C_Wall_Deco_400_2F_C",53
"CommonChStatusListS_C",53
"BattleCommandBuffParts_C",53
"TimeZoneEmitterParam",52
"BPI_Obj_Torch_Wall_A_L_C",52
"PaperSpriteComponent",52
"BPi_Wilderness_B_Loop_H4_E_C",52
"CommonDotParts_C",51
"BP_WaterFall_D_C",50
"BPI_Obj_Lamp_Residence_A_F2_on_Hell_C",49
"BP_Mansion_D_Wall_400_C",49
"CommonButton04New_C",49
"ParticleModuleRotationOverLifetime",49
"LineupItem_C",48
"MaterialSoulIcon_C",48
"BP_Lamp_E_CandleStick_One_Wall_C",47
"BP_Canoedock_Right_C",47
"PartyFormationPageArrow_C",47
"SplineMeshComponent",46
"BPi_Wilderness_B_Loop_H2_B_C",45
"BP_FoliageGrass_B_MA_C",45
"RichTextBlock",45
"ExchangeItemDetailsPanel_C",45
"ParticleModuleCollision",45
"BPI_Obj_Com_Counter_Shelf_A_C",44
"BPI_Obj_Snow_Lantern_A_C",44
"TimeZoneDirector",43
"BPi_Wilderness_B_Loop_H2_C_C",43
"BP_Chandelier_A_Church_C",42
"BP_Chandelier_B_AlwaysFire_C",42
"FBImage",41
"MovieSceneMarginSection",41
"MovieSceneMarginTrack",41
"ParticleModuleSpawnPerUnit",41
"ParticleModuleTrailSource",41
"ParticleModuleTypeDataRibbon",41
"BPI_Obj_Torch_Ground_Hornburg_EnvSound_C",40
"BPi_Mansion_D_Wall_Deco_400_2F_C",39
"CharacterDetailsEquipList_C",39
"BPI_Obj_Torch_Hang_B_C",37
"ShipAnimation_Blueprint1_C",37
"BPi_Mansion_C_Wall_200_1F_C",37
"BattleExtBtn01_C",37
"BPI_Obj_Cloth_B_C",36
"BP_Chandelier_D_Grow_C",36
"EquipWeponMaterialList_C",36
"LineupItem_QPS_C",36
"MainMenuCharaPanel_C",36
"BPI_Obj_Com_Smith_Shelf_A_C",35
"BP_Lamp_D_CandleStick_Tri_Wall_Dungeon_Dither_C",35
"BP_Spinning_Torso_C",35
"BPi_Wilderness_B_Loop_H4_C_C",35
"BPI_Obj_Torch_Wall_Hornburg_A_L_C",35
"CommonAbilityListItem_C",35
"BP_Lamp_Stand_A_Many_C",34
"BPI_Obj_Candle_B_on_C",33
"PaperSpriteActor",33
"CommonHeaderButton_C",33
"MainMenuCharaPanel_QPS_C",33
"BPI_Obj_Scarab_lamp_A_on_C",32
"BPI_Obj_Lamp_Edlus_3D_on_C",31
"BPi_Mansion_C_Wall_200_2F_C",31
"MapChipAnimation_Blueprint_A_C",31
"BPI_Obj_Com_KitchenSet_D_C",30
"BP_Lamp_D_CandleStick_Tri_Wall_Dungeon_Deco_C",30
"BPI_Obj_Torch_Wall_Hornburg_A_R_C",30
